exprid,Time_sequential,NC_sequential,MM_sequential,Time_independent,NC_independent,MM_independent,Time_full,NC_full,MM_full,Time_chopin,NC_chopin,MM_chopin
1,8.503368704,-126.91690364601578,0.4488103708522637,6.528599527,-125.74405721426601,0.4500641021864166,6.7501828470000005,-125.55351894862926,0.4543140983282974,6.407514497999999,-115.0730388727628,0.3965980356502736
2,6.946789175000001,-127.50397147696759,0.4559215024529544,6.840863557,-126.11005780860695,0.45775629246587685,6.650193675,-125.21523509670824,0.4425538553493584,6.176130665,-113.43422906176227,0.40515114639936095
3,7.180632122,-128.62672429700737,0.4470165286307599,6.378981593000001,-125.72110457731979,0.45050735381149287,6.795114706,-125.23332048289492,0.45268341000520035,5.890157374,-113.38767815911667,0.41776497493582054
4,6.597787157000001,-125.97783918152966,0.45686565578431415,6.6784687609999995,-125.21721358726354,0.4459967002152152,6.774162664,-124.99922535706703,0.45757739978813117,5.9097597529999994,-115.10409962192725,0.422952844969098
5,6.844848873,-125.57287119235792,0.4521198101093475,6.901060363,-124.71712744484671,0.45403225690177257,6.591534053,-125.90499001864974,0.45873826308194,6.206334581,-114.5834717274069,0.42461044026531386
6,6.7460746369999995,-126.30775470406364,0.45268616680047086,6.793143385,-125.97236721490691,0.4494936566478531,6.797548835,-125.53574539776979,0.4517478946824492,5.889152043,-116.70008397044987,0.42653460661516096
7,6.800734792000001,-127.41567363463089,0.4579131244990411,6.671998296000001,-126.82511210204362,0.44869969070191923,6.829012628,-127.18655643022889,0.45226872381219196,5.944691044000001,-113.69953855562056,0.4105316168026486
8,6.786594247,-125.54588241614347,0.45072784595259296,6.423595156999999,-125.40665127116641,0.4543551968408892,7.1448749519999994,-125.62574916433323,0.454407733172122,6.226036582,-116.09229705760114,0.4110573580813553
9,7.060045871000001,-126.62542318116817,0.4443863055572701,6.521041705,-126.19880959928003,0.4432561030008376,7.008855883,-124.14568080700153,0.45099584061330633,6.2602948309999995,-115.34607824553466,0.3975862785708826
10,6.9831990500000005,-126.81494171364858,0.4429697414957591,6.705127041000001,-124.71467440147573,0.44675117635868117,6.581831706,-126.17184526600873,0.45014164352972036,6.227591041,-114.5010928420428,0.40533415220124625
11,6.549412049,-126.40889460592112,0.44566597726463075,6.697818499,-126.96514413092977,0.4483245175809819,6.6188694550000005,-126.16469491094594,0.45097106247300206,5.967964915,-113.2691504529636,0.41167939545048765
12,6.580470083,-125.63967947646177,0.451778789013216,6.872326922999999,-125.42106742041915,0.4423586208197402,6.800591088999999,-125.55711234755857,0.4490734270823817,5.98451491,-116.58916491051538,0.4096491179407581
13,6.4775128330000005,-126.713399210134,0.45876903869855423,6.596096406,-126.5780994446595,0.45018180180194367,6.733275581,-126.42599036335265,0.45544943884655864,6.465987373,-115.59109864918106,0.40192038417020404
14,6.774253839,-123.7957203968397,0.44684357812678543,7.112648335,-125.33919309332725,0.45223169572702776,6.579823169,-126.01488213825509,0.4578057454491109,6.04005375,-116.47658794466406,0.4325663122461758
15,6.636079659,-125.60421680669674,0.4501825357158922,6.6274937099999995,-125.70796505653426,0.4477619567114346,6.282218211,-126.98228495655555,0.44484246439417674,6.038872503,-114.81044967378844,0.41068245139851134
16,6.3866473699999995,-126.86275438463058,0.45466149119147903,6.784137207000001,-125.7035736259987,0.4534019738918449,6.628031042000001,-125.57545163194331,0.4568616272664414,6.031330539,-116.02854737549399,0.39614969720153426
17,6.458059967,-127.37690963442196,0.4397570684817234,6.770860127,-125.95779104865322,0.45166104744382923,6.824544002,-125.61278215669194,0.449030066034082,6.3849740839999996,-112.82431224936768,0.39506486800779306
18,7.033475471,-125.03482875693267,0.45156378133016706,6.5813825900000005,-126.85052649433122,0.45255278298588775,6.949403657,-127.0068034641718,0.4505722014400549,6.090127662,-114.70736285503904,0.40085814105614004
19,6.5032632459999995,-127.1642532239625,0.4499765386043978,6.949315746,-126.56132056934916,0.45284894873144244,6.694327747,-125.53188678728444,0.4456225750194295,6.001219751000001,-116.78614010746108,0.3995573358246321
20,6.742563036,-127.7195189386395,0.4526992942344543,7.018792173000001,-125.68984404393804,0.452610364621954,6.759750501999999,-125.28394980023727,0.44792878242364165,6.356517375999999,-115.25384186225563,0.42483901833655374
21,8.770870046,-126.88978640938633,0.454219088243932,6.334281546,-125.5802672613603,0.4544682764040682,6.777127126999999,-124.31682014375298,0.45069885575212176,6.454080628000001,-114.66354560173815,0.38549003122844705
22,7.197978000000001,-127.18307145520055,0.4500084236797115,6.512613330000001,-125.94584702747288,0.44428984770651986,6.615853080999999,-127.62002371827822,0.45491054108048035,5.858862203,-114.76502028524122,0.4155050231828905
23,6.895294032,-124.33907881778228,0.4502672788249569,6.577228452,-126.3414323864232,0.45422702328450437,6.5715928770000005,-125.95441813795082,0.4431051322954709,6.196269382,-113.78441380368227,0.41933505498762036
24,7.057245087999999,-125.61106979310061,0.44734293985520734,6.969240504,-125.14342897473023,0.4501119936389737,6.838440372000001,-125.53602977783287,0.4472881495128691,5.89346462,-115.45333933641507,0.43678457401452864
25,6.999224795999999,-127.2586794642059,0.4460024281420606,6.751999249,-125.94246049489124,0.44540689508555253,6.72271417,-125.97003926437118,0.45495351573446857,5.922566916,-114.25335334177053,0.3946495178681034
26,6.890716295000001,-126.91865189368252,0.44900652943159836,6.733658264,-127.42550376101606,0.44694018585411954,6.448286755,-126.23466863282249,0.4430882216625165,5.931534458,-116.37515135265888,0.40955057819413543
27,7.138737338,-126.90976292084954,0.45358967854496685,6.658453925,-125.47175466940372,0.45433821027499394,6.653036042,-122.97758098745759,0.4593207912321438,5.930393249000001,-114.91808473015413,0.3760421120713402
28,6.6907399089999995,-127.78037104176677,0.4610000724183634,6.986444458999999,-125.06786779594066,0.4544311094642717,7.202535419,-126.8126202696046,0.45109447320506807,5.972934337,-115.05566971865017,0.40945936720750753
29,6.531490255,-127.21036699088249,0.4540808758628516,6.632369955,-125.75891039045302,0.45145464571932814,6.860630455999999,-125.16555957685621,0.4599965527984915,6.262444003,-114.47915724849129,0.4042147488662008
