exprid,Time_chopin,NC_chopin,MM_chopin
1,21.385875300000002,-113.3461859142228,0.4001681886326749
2,20.2801775,-112.87035073579385,0.40529139917003243
3,20.9317434,-113.9068857039441,0.40649792525693873
4,20.827882,-112.68241876263274,0.4241305688704978
5,21.1502204,-113.7038858262615,0.39868101302300474
6,21.4095148,-112.52062574608112,0.41274836718311303
7,21.5509079,-112.76332732529586,0.40993245598951733
8,21.107078899999998,-113.85783352430636,0.42475256540144657
9,21.5614534,-112.80609782949749,0.40585185125252976
10,21.6566761,-112.92750878968945,0.4146482306706058
11,22.0726687,-113.0284428383199,0.4096654770204374
12,22.7350702,-113.62043167060067,0.4239531688129093
13,21.4133141,-113.3663653110131,0.4310724414049521
14,22.262478599999998,-113.40334350003566,0.395507326843798
15,22.191588499999998,-112.49541446201162,0.4214724444574806
16,22.111878599999997,-113.27467210940196,0.40962961787072083
17,22.2508041,-113.3127697287675,0.39774183548007136
18,23.040161400000002,-113.02376234073688,0.4199336990555438
19,21.4586669,-112.37540468213639,0.4304499420459602
20,22.032457299999997,-113.71930497901056,0.4184942661783313
21,20.812714399999997,-114.42673043654989,0.40699882926983283
22,19.9900093,-112.29636692269055,0.39882933962797895
23,20.9694015,-113.13265373253121,0.4113962157068692
24,21.3877012,-113.59432503915212,0.4018092309817143
25,21.4280337,-112.6097226635427,0.4332203248539438
26,21.3354264,-112.482902756924,0.39389622209980246
27,21.7986639,-113.3176046576518,0.39640186229747865
28,21.3628713,-113.47700394839768,0.40781105278908547
29,22.2592276,-111.94940289793121,0.4065801057183573
30,20.395939499999997,-113.91416952800617,0.44421422968544366
31,22.042635200000003,-113.26215014350078,0.40776260116812457
32,21.558632799999998,-113.44629327364356,0.4058332181816636
33,21.4070022,-112.08673630103598,0.4000842456728012
34,22.3444468,-114.08107179461489,0.40268537977677155
35,22.2812454,-111.95832291345444,0.44028530743332756
36,22.9858008,-113.10174849669477,0.4467264818676138
37,22.5378161,-113.60800028833333,0.39285544940774597
38,22.0919934,-112.81515990100803,0.4112717786529049
39,22.64407,-113.35328448966007,0.4059675841671297
40,22.8545888,-112.72877100635907,0.4135376191822684
41,20.069615199999998,-113.70005990565322,0.42784811130205413
42,20.7128638,-112.37733992969389,0.4002693295353902
43,21.118091999999997,-111.46674106960934,0.41285199609884426
44,21.2455638,-113.49026883996751,0.41327792201778735
45,21.1561692,-113.19103188948591,0.41500191739605585
46,21.0575964,-112.14720102247516,0.4361119389545107
47,20.684859099999997,-112.83193391444794,0.4172173816162984
48,21.7482755,-113.48844165814711,0.4219629447302216
49,21.6177229,-113.52082641443626,0.39776795147188504
50,21.624475599999997,-113.60197909384591,0.4162924752802523
51,21.3075044,-113.60719957414119,0.4247887436017875
52,21.9520421,-112.67602029351436,0.4050890347665837
53,22.4685732,-112.67952074404229,0.42205466079974024
54,21.6243151,-112.77730951432326,0.4361517987338628
55,22.7829244,-113.3181195080388,0.40943859657410797
56,22.9073448,-112.68580208691246,0.4347200108235795
57,21.3560778,-113.41873878693956,0.4044314901503372
58,22.1597244,-114.32164265589645,0.41200387036265584
59,22.7474358,-112.39135303008567,0.4340392340485467
60,23.0147598,-112.51453805419901,0.39842383328811715
61,21.4053714,-112.82551476733293,0.4108229060145766
62,20.1574705,-113.78417186937783,0.4281716334242589
63,20.1962276,-113.02271464948096,0.4304481930006727
64,20.4965737,-111.62975176580647,0.41787456583487903
65,21.503043599999998,-114.2687896910165,0.41571660596637505
66,21.5631134,-112.7209589286901,0.4172642803453345
67,21.687075200000002,-112.71928256940363,0.41409405344483996
68,20.942160299999998,-112.15190667404237,0.4127139483171528
69,22.0731966,-114.10713658053588,0.4071581894209607
70,21.0230467,-112.7594272521392,0.41729864670258027
71,22.2652158,-112.87667644963881,0.42983230562439634
72,21.7534791,-113.830275075721,0.3937751384349107
73,23.0070279,-113.92854908005309,0.42245664630285934
74,22.539701299999997,-111.97631779913283,0.4006137080130784
75,21.956774699999997,-111.81037579466334,0.41398705812760517
76,22.4693937,-111.71941840817377,0.4221470027257682
77,21.7166116,-111.81980373904864,0.3902359204570403
78,22.433723999999998,-113.28555033161608,0.41030451704796544
79,22.3076134,-112.30132318390451,0.4086480954490953
80,22.3065297,-113.7583116546738,0.4122922317441706
81,21.382949800000002,-113.18806679238484,0.4107195111503965
82,20.231470199999997,-113.05335727190034,0.422214132662294
83,20.5711751,-112.84504237198247,0.4085618769985764
84,21.036821,-113.3150696391477,0.41330563478148274
85,21.1474194,-112.35439546647225,0.413960235525629
86,21.6200629,-113.11384213420183,0.4218533035627512
87,21.3514438,-112.54354148359057,0.4100539289405465
88,22.054412300000003,-113.29070827764212,0.40174326264465954
89,20.7973354,-112.28334487596982,0.4110380682920458
90,22.1693124,-114.1982602308246,0.40375695360572333
91,21.0825916,-111.8376077989266,0.4264508034992498
92,21.9713802,-113.20905505473094,0.4014584869775951
93,21.473697,-112.23162668564368,0.3928130772589359
94,22.0930584,-112.88474554469565,0.40939968127633997
95,22.602344600000002,-112.51547754906991,0.3908334861177168
96,22.16962,-113.05976871010844,0.4158266214342781
97,21.9978495,-114.0521026475273,0.4244875149579197
98,22.4886303,-112.86889038367286,0.4040467223284828
99,22.571387299999998,-112.23146464136357,0.3995769039234119
100,21.9614545,-112.49798013788958,0.4080432322014081
