exprid,N10000M5alpha50_Time,N10000M5alpha50_NC,N10000M5alpha50_MM,N10000M10alpha50_Time,N10000M10alpha50_NC,N10000M10alpha50_MM,N10000M50alpha50_Time,N10000M50alpha50_NC,N10000M50alpha50_MM,N10000M100alpha50_Time,N10000M100alpha50_NC,N10000M100alpha50_MM,N10000M5alpha70_Time,N10000M5alpha70_NC,N10000M5alpha70_MM,N10000M10alpha70_Time,N10000M10alpha70_NC,N10000M10alpha70_MM,N10000M50alpha70_Time,N10000M50alpha70_NC,N10000M50alpha70_MM,N10000M100alpha70_Time,N10000M100alpha70_NC,N10000M100alpha70_MM
1,22.580098036000003,-122.0148614089163,0.4673226196033443,22.788502792,-120.79731425362199,0.4319393288658635,27.478489099999997,-113.04796714281619,0.42233053723628533,21.606220464,-112.42433365468894,0.37834634720464577,29.6091647,-123.28882909886333,0.4430237268410844,29.177593339999998,-121.29937732442544,0.46412864577286195,40.680632497,-115.55140327652644,0.42340234952471584,28.963764818,-112.37674770072057,0.39814703037666094
2,17.123102888,-122.66880374240374,0.45015483759636227,16.35044337,-120.19222652134361,0.43515540804350583,23.699556946999998,-114.94866082598752,0.41184674361327955,14.781988680000001,-112.72043416806565,0.37650814008481215,24.05866029,-122.11783135402015,0.43950465296091096,22.969278447,-120.34778212051003,0.45033553837559437,34.656604386000005,-114.45609146107071,0.417815131795075,25.60507556,-114.49739605581192,0.41454691157803125
3,16.465745139,-122.86801836885294,0.429394696308253,16.958651862,-119.3289941734542,0.41942969749946263,24.380029422,-115.43450242854858,0.4222043542347566,14.948587789,-111.92202723840742,0.35091248253169227,25.409542192,-122.5959837610599,0.4522583878876951,22.896046354,-119.35825665051034,0.43585727871575614,22.093914188,-114.29959661820165,0.41968472825198216,28.083313611,-113.14117605047015,0.4207918672977974
4,16.481647768000002,-122.21275579658406,0.45359990874066586,16.126760726,-119.80474262469467,0.4136953779269802,17.148791957,-115.9148980050806,0.4177242874833961,14.843317255999999,-113.12861601184156,0.4034759966030347,24.942029596,-122.30551883684846,0.44808946685204915,23.535137041,-120.46719376550985,0.44231407122033584,24.724434694000003,-115.14390348930442,0.42969699632554703,21.892524353,-112.27985069470999,0.42305332556906655
5,16.212752187,-122.67971002801612,0.4365163573250899,16.50749476,-121.60753720248498,0.4507951089153553,14.261152001000001,-114.0989373266773,0.4034589362728165,14.717104011,-114.87801364287712,0.4022422130353279,23.590606669000003,-124.16777208235447,0.44160848365292116,25.193054356999998,-121.11430320671725,0.442042741399346,22.176307258,-115.31673167120346,0.41826749789416073,23.545818882,-114.0632796766641,0.40325608860256773
6,31.405947774999998,-123.0129473280259,0.46310209270311226,23.453735286,-120.64767929527486,0.43023235721379693,22.012772894,-114.1932360979299,0.4221698760907426,33.086475701999994,-113.26256985080136,0.4274001744140589,30.387751502999997,-123.4167985769873,0.45576012813570455,29.240438822999998,-121.06020334208864,0.41698498523923966,33.833362828,-114.50166559496684,0.4063162621270794,27.818239141,-112.17111612364032,0.4125364027420427
7,27.396094952,-122.0941045461766,0.4491289517464489,15.451084419,-119.83207426549343,0.4244843946844351,16.783693582,-114.51430080025705,0.4005957702246443,25.432068026000003,-111.98853981143606,0.40181527924665394,22.964829854,-121.68925535326679,0.45393875720109106,23.003698571,-120.69992839135148,0.42726459709897724,25.105444398,-115.07589079069939,0.40876112251579166,21.624000651,-112.75942714035227,0.40519810675401746
8,22.372576395,-122.21365888245901,0.4403811881170041,15.678032658000001,-120.87574577073228,0.4675178513268113,15.038930126,-115.03031961608349,0.392219782452511,24.040072164,-110.25700413269864,0.38947201935248305,34.872402297,-123.52933861226269,0.43479819906755685,23.678448648,-121.93250100344243,0.4198262442959962,22.273767871,-115.1177136657321,0.42206790703435104,32.015946773,-113.99979208577155,0.4114877425120118
9,18.566564308999997,-122.83654020889281,0.4630590043088514,16.278122531,-121.14658970052905,0.4393785526715299,15.471354455,-113.80286264801684,0.39775771333959326,14.255830438999999,-112.19962192189699,0.412379313233735,25.385789521,-122.59504135198884,0.46862232236908197,22.796786995,-119.85512241823551,0.40799969749801673,21.704012528,-113.96135361432154,0.4163135969486346,29.589039289000002,-111.81060669882673,0.41183329329516327
10,15.845858732000002,-121.50281698986254,0.46469697176211744,15.707801552000001,-121.4253296874289,0.4608744337368387,15.459562113,-114.13674327136908,0.4095682626890131,14.567216166,-109.60803255006277,0.3984531117048331,24.349364806,-123.22672176132652,0.44836749566961576,24.377690935999997,-119.684406002795,0.4233599531462239,21.773498984,-113.36643673050932,0.40162951787381573,21.587687906,-112.47790206478723,0.41188671016130873
11,34.730747201999996,-123.98641917594175,0.4397765960731125,22.620559628,-119.4572799851956,0.4484110364785095,25.391751178,-114.89769016304577,0.42228525678831974,20.717710620000002,-114.15320376281204,0.3885038490709502,31.46047139,-122.45961141150781,0.46239664415211434,45.795863194999995,-121.22961970546949,0.4412341511461596,40.111460099,-115.78015130519103,0.4367322464487844,44.345553402,-112.27667084139841,0.41048941557673085
12,27.651827274000002,-122.55179166876309,0.44302106082883175,15.582517618999999,-120.18824382098003,0.40412839037696263,15.526763228,-115.24860557486245,0.43353567146247746,14.630549293,-115.38102400701035,0.39730579627484475,27.705198678,-124.00858692911969,0.4362150659488008,38.034652878,-119.82253614746898,0.4607945461654368,35.266184834,-115.34700603357312,0.409954048575079,24.169052908999998,-111.83373846722448,0.41674756411935193
13,26.145640914,-123.72894449034507,0.41703761548997964,17.696203354,-121.03493462517042,0.42253855729506307,15.623369646,-115.07293738288026,0.4310993952433119,14.636710578,-112.27137606181536,0.4015972382997096,29.451177866,-123.57410672434348,0.46680354470787166,32.064306914,-120.07934805920125,0.42381522345713485,35.130065805,-113.80107952377963,0.400026587382952,24.442696517,-114.72808396567046,0.41445595150226777
14,16.792755221,-122.75281754683753,0.4514008143667513,18.719685453,-119.92568754899266,0.39988265641989457,14.783344093,-114.65937181524512,0.41584232895788364,14.660968411999999,-112.76085985980416,0.40533414168255744,27.555110296,-123.30189090583299,0.4563091081499855,23.883423914,-120.18904523750408,0.4237316052244722,25.813903475,-115.67453677216801,0.4076815680199295,25.878844443000002,-112.78631966625524,0.4046330548272884
