exprid,N10000M50eps10alpha50_Time,N10000M50eps10alpha50_NC,N10000M50eps10alpha50_MM,N10000M50eps10alpha70_Time,N10000M50eps10alpha70_NC,N10000M50eps10alpha70_MM,N10000M50eps10alpha90_Time,N10000M50eps10alpha90_NC,N10000M50eps10alpha90_MM,N10000M50eps15alpha50_Time,N10000M50eps15alpha50_NC,N10000M50eps15alpha50_MM,N10000M50eps15alpha70_Time,N10000M50eps15alpha70_NC,N10000M50eps15alpha70_MM,N10000M50eps15alpha90_Time,N10000M50eps15alpha90_NC,N10000M50eps15alpha90_MM,N10000M50eps20alpha50_Time,N10000M50eps20alpha50_NC,N10000M50eps20alpha50_MM,N10000M50eps20alpha70_Time,N10000M50eps20alpha70_NC,N10000M50eps20alpha70_MM,N10000M50eps20alpha90_Time,N10000M50eps20alpha90_NC,N10000M50eps20alpha90_MM,N10000M100eps10alpha50_Time,N10000M100eps10alpha50_NC,N10000M100eps10alpha50_MM,N10000M100eps10alpha70_Time,N10000M100eps10alpha70_NC,N10000M100eps10alpha70_MM,N10000M100eps10alpha90_Time,N10000M100eps10alpha90_NC,N10000M100eps10alpha90_MM,N10000M100eps15alpha50_Time,N10000M100eps15alpha50_NC,N10000M100eps15alpha50_MM,N10000M100eps15alpha70_Time,N10000M100eps15alpha70_NC,N10000M100eps15alpha70_MM,N10000M100eps15alpha90_Time,N10000M100eps15alpha90_NC,N10000M100eps15alpha90_MM,N10000M100eps20alpha50_Time,N10000M100eps20alpha50_NC,N10000M100eps20alpha50_MM,N10000M100eps20alpha70_Time,N10000M100eps20alpha70_NC,N10000M100eps20alpha70_MM,N10000M100eps20alpha90_Time,N10000M100eps20alpha90_NC,N10000M100eps20alpha90_MM,N10000M200eps10alpha50_Time,N10000M200eps10alpha50_NC,N10000M200eps10alpha50_MM,N10000M200eps10alpha70_Time,N10000M200eps10alpha70_NC,N10000M200eps10alpha70_MM,N10000M200eps10alpha90_Time,N10000M200eps10alpha90_NC,N10000M200eps10alpha90_MM,N10000M200eps15alpha50_Time,N10000M200eps15alpha50_NC,N10000M200eps15alpha50_MM,N10000M200eps15alpha70_Time,N10000M200eps15alpha70_NC,N10000M200eps15alpha70_MM,N10000M200eps15alpha90_Time,N10000M200eps15alpha90_NC,N10000M200eps15alpha90_MM,N10000M200eps20alpha50_Time,N10000M200eps20alpha50_NC,N10000M200eps20alpha50_MM,N10000M200eps20alpha70_Time,N10000M200eps20alpha70_NC,N10000M200eps20alpha70_MM,N10000M200eps20alpha90_Time,N10000M200eps20alpha90_NC,N10000M200eps20alpha90_MM,N10000M500eps10alpha50_Time,N10000M500eps10alpha50_NC,N10000M500eps10alpha50_MM,N10000M500eps10alpha70_Time,N10000M500eps10alpha70_NC,N10000M500eps10alpha70_MM,N10000M500eps10alpha90_Time,N10000M500eps10alpha90_NC,N10000M500eps10alpha90_MM,N10000M500eps15alpha50_Time,N10000M500eps15alpha50_NC,N10000M500eps15alpha50_MM,N10000M500eps15alpha70_Time,N10000M500eps15alpha70_NC,N10000M500eps15alpha70_MM,N10000M500eps15alpha90_Time,N10000M500eps15alpha90_NC,N10000M500eps15alpha90_MM,N10000M500eps20alpha50_Time,N10000M500eps20alpha50_NC,N10000M500eps20alpha50_MM,N10000M500eps20alpha70_Time,N10000M500eps20alpha70_NC,N10000M500eps20alpha70_MM,N10000M500eps20alpha90_Time,N10000M500eps20alpha90_NC,N10000M500eps20alpha90_MM
1,10.422058489000001,-125.63437738192344,0.44475419989862197,12.942987215,-125.00326315865134,0.444761450137853,22.899666168000003,-125.110040551614,0.4493634290903926,10.455221703,-126.67714459492417,0.44521693903101567,13.633714099,-125.79815852478842,0.4526813193259478,22.546257123,-125.74731590258949,0.45421462801123696,10.490562785,-125.830191136651,0.45068337587850893,13.27167886,-125.34911277686949,0.44848378590576615,23.631681328,-125.84260684176307,0.4548385258784291,9.920651918,-125.83380553253251,0.45272264904629844,12.821265249000001,-125.85992960130119,0.44569865187989477,23.336506752,-124.57866326906787,0.44991876248051244,10.299685326999999,-125.64679069702898,0.44068967670185166,14.024097166,-125.54755589508974,0.4472454064730772,23.825525175000003,-126.11312412126135,0.4499376274776137,10.241737171,-126.65418283120043,0.4493041745332643,12.849178793,-125.6809231655464,0.450498843582942,23.148306332,-125.54600334418028,0.4543179220269638,10.376735749,-125.4694325772681,0.44535835797882417,13.619731753,-124.96871067860796,0.44838809832281246,23.202186926000003,-125.88584624197053,0.44692479865769724,10.206112362,-126.32975267629163,0.4524553787472196,13.919739596000001,-125.01366065431219,0.4559509362673895,24.461307747,-126.05325113909805,0.45248708838647234,10.364133086,-125.88668026337061,0.44604196625713677,13.633646878,-125.21927854742168,0.4433212499511618,24.071047112,-125.20564109695542,0.4498229388988617,10.511511544,-135.50780774139926,0.4423464641845428,13.604556278,-133.01629450338976,0.43508320254343247,23.994541596,-128.87954963700997,0.4275136663089789,9.985372454,-130.79192554609162,0.45174793555513804,13.54064371,-124.55428240799404,0.4410343107347552,23.207882857,-126.47191506169918,0.4355913363952293,10.510520538,-126.13341763561623,0.4591392695766811,14.072008712,-125.79821388472406,0.4504703693989959,25.155881379,-125.8000842039246,0.44988814872239274
2,7.964073839999999,-125.38055043863024,0.45659693598413864,11.68497242,-125.45431470140322,0.4535540542636748,24.23376471,-125.71554989096035,0.44639257691383816,7.972769883,-126.11929870140929,0.4488765785588946,12.023019954,-125.11545681687097,0.45254816159675815,23.722071290000002,-126.1382112361848,0.44237986763949755,7.709877045,-125.86843098291365,0.45460379149270613,11.087726284999999,-125.1471245830797,0.45562418363382895,25.969954507,-125.70381573598554,0.45273410479469267,8.154247958000001,-125.48704760009366,0.4513189907837132,11.425670995,-125.2718595416468,0.4506011392800394,22.836720987,-125.91810517788524,0.4449290843028824,8.014834871,-125.77191046785438,0.4553121071486924,11.517681051999999,-125.81164674067476,0.45124957771680074,23.705600581,-124.41723599247504,0.45074418843752173,8.323016804,-125.89399375778498,0.4498093006514109,11.726941039,-125.8067997636705,0.44809764214644354,22.340014591,-125.40675990436047,0.4534830935597456,7.995762454,-126.03832385279264,0.43757963249329074,11.774922666,-125.3307357091803,0.4531196107198004,23.750358884,-125.32428886294139,0.447792212407659,8.492927756,-125.73385463839966,0.44975789746036954,11.923557537999999,-125.84979852426548,0.4511327140412489,23.689664662,-125.79282107169286,0.43986668673274854,8.510641954,-125.40459405454266,0.44786319584189144,11.733214912,-125.32922649961412,0.4459270032534255,24.609776419,-125.64575605329166,0.4458761044778583,8.198092871,-134.86474414037386,0.4184034174510307,11.27984904,-139.52915251509626,0.481762864108246,24.242012244,-126.59728085965523,0.42963178604279306,7.620433703000001,-129.7954786451274,0.4387849837368812,12.235877458,-126.06971450961544,0.42821763406410546,23.631734963000003,-127.69017700516002,0.4527757334325395,8.35313008,-126.17187237744905,0.4623944534640949,11.989953635,-125.79918506023579,0.4484901085688051,25.605524086000003,-125.26527024457121,0.4514464680055455
3,8.250237364,-125.70017545330457,0.45450986236989266,12.960270782,-125.07408083372479,0.4519599575615242,28.469530880999997,-125.85468730137318,0.44323456339712386,8.871539329,-125.34353875716837,0.4581867704009006,11.976987087000001,-126.75783255862623,0.45072515175342287,28.878032700999995,-125.13325780654726,0.4539041067815032,7.675761658999999,-126.83450740342722,0.45256600832712357,12.117960740000001,-124.80149732201295,0.4503285555794995,30.743842041,-125.61386812819278,0.4453079635375297,8.522971511,-126.35493660548958,0.4474238542934595,11.668767044,-124.59574633017965,0.446438978427662,27.328670907,-125.86459142698976,0.43812653620915376,8.417688121,-125.20181644903839,0.4522462660601776,11.556812544,-125.77461639238024,0.4506151530089831,27.280155797,-125.5805563163754,0.4473518547483763,8.559417757999999,-125.54392191686998,0.4503135051043188,11.94634384,-125.711551440043,0.45486949051322445,28.866722134,-126.29082115029969,0.44796935108170655,8.484362554,-126.52289135504401,0.4495559199268332,12.221395297,-124.25939272884861,0.4612667176759714,27.878391375999996,-125.25913149479928,0.4663314836213446,8.197594293,-125.8384599104153,0.44661553146581134,11.617153072,-125.53887208459395,0.4480112056539678,27.496534001000004,-125.27806190920892,0.4441821197062261,8.554110294,-125.99723111358087,0.44886882548372287,12.172090782,-125.49372535377542,0.44419988214672346,29.429469584000003,-125.49000831315132,0.45132655461906335,8.356001618,-137.12517564482707,0.4126794450781561,11.692526592,-128.05062846548114,0.43637679909590615,29.175058627,-129.99379838111648,0.42864108200015005,8.014894374,-131.69122189152225,0.4378208919513238,12.396656512,-129.62333879495884,0.43744117649183034,27.145042814,-127.29484780831422,0.43698452901318374,8.927092209,-126.64898106829833,0.4489002007124704,11.703773626,-125.79904570708149,0.45758371296236117,30.196401961,-125.58560526080802,0.45138628777688805
4,7.401594077,-125.60205903886406,0.4465468105002932,12.267060663,-126.08601063343056,0.45654680146504145,27.148350416,-125.84193725566192,0.45076228158176235,8.146526953,-126.14437133524989,0.4542867411726824,11.598313918,-126.8215650303065,0.45078619725354874,26.998219673,-125.85361791846826,0.4439140574516724,7.493017334000001,-125.65635122872168,0.4549550901522068,12.147374241000001,-125.63198713416242,0.4463821378674784,26.792429135,-125.73498511015765,0.45673670056425747,7.997433293,-125.18958020341205,0.4445321761049325,11.657851291,-126.36550839554434,0.45907236183718536,25.82111909,-125.19401017773723,0.45094925362060245,7.9395774569999995,-126.22019984020227,0.45434165291679596,11.420950911999999,-125.28930213590797,0.4540826620405719,26.054717830999998,-125.84007636418634,0.44987306174456715,8.354870367,-125.36672791386447,0.4501059201411999,11.188139088,-125.51648775371173,0.4524558352284498,25.8705423,-125.56775053555316,0.45053417090127346,7.593947295,-127.88284131450042,0.44269869323977773,11.479298379,-125.63266338797014,0.4628764606749267,26.70896679,-125.88498117113645,0.450641104643638,8.046048131,-125.96709700334169,0.45602974562283793,11.345643669,-125.55721733117589,0.44854460604436375,26.579124374,-124.93916309645351,0.4470850594165401,8.551391755000001,-125.11991300452136,0.44538161509905083,12.230251625000001,-125.4370358466542,0.4484724597867552,26.865085706,-125.12767688737281,0.4511214799865525,8.303290378,-139.31096544177979,0.3979058145516193,11.959316796,-138.04628975876227,0.38867559287509357,26.262954709,-129.84499774110623,0.4344938253057898,8.359888214,-127.93891274659991,0.4120253019430824,11.977432955,-126.89605133330342,0.47380533944502967,26.160749879,-128.3320450353648,0.4613037979445803,8.892672702,-125.99873096014926,0.441519024545425,12.771482487,-125.11342367784545,0.4481019706225441,26.173667085,-125.89743821274193,0.4445667037392587
5,8.022244333,-125.78962023786089,0.443097012265088,11.603718166,-125.95114943178164,0.45519037546402313,24.170568342,-125.75728102805815,0.44903732594020207,8.431803081,-126.14265007274165,0.4431263650879448,12.268619283,-125.15974150049182,0.44802890457014866,27.017858375,-125.52043043640354,0.4478588584938353,7.690271709,-126.04305434600636,0.4479382389237899,12.541096826,-125.50297761363552,0.4487183778831707,28.455774460999997,-126.42927613453222,0.454511792925462,8.257084622,-125.41266301237704,0.4501744933143055,11.724127584,-125.73250650092415,0.4416808251637747,25.608801999,-125.68673341169486,0.4493717672557307,8.177673121,-125.96690786135284,0.4483130216411646,11.121242799000001,-126.08594001650863,0.4523550726708431,26.749402629000002,-126.03646899769333,0.45205099378409486,7.714344710000001,-125.8694113809765,0.45011674617239117,11.045241915,-125.3446631654128,0.442490837405307,26.76977346,-125.83308632486323,0.4512918566683989,8.240483583,-127.6532792790917,0.45013568349325794,11.404438349000001,-126.37906858039695,0.4538410771600124,25.373792826,-125.06473979525872,0.44313445182272015,8.300170787999999,-123.98215423882422,0.44863807743366113,11.638541956000001,-126.15766120235814,0.4488246047305643,26.431513753,-125.1741046712588,0.4537130451307506,8.281749824,-125.55852800143784,0.4504682599246345,11.706892126,-125.93611265297713,0.4569525166146514,27.274465417,-125.30508914578975,0.4494761869246177,8.351849034,-140.8951787467397,0.40904839339788035,11.489876998,-135.24561215940076,0.3976952197425413,26.019699663,-128.79591395127778,0.4878065912926878,7.60407487,-129.9579089101341,0.42053606273064587,11.804572417000001,-130.2224380502194,0.43341715856923646,26.116016210999998,-127.22223817452912,0.44672308142072664,8.555391471,-125.754034388909,0.4519994960440216,12.983939373,-127.06184142468109,0.4499692403784986,26.73341133,-125.48453228325002,0.4522633435443753
6,7.854029043,-127.00104348764577,0.4529234589676956,11.984090702000001,-124.98602324339723,0.44920826940855885,27.006676999,-125.0458722330988,0.44412637092957646,8.597502168,-126.85053792716542,0.4533180704284609,11.725854954,-126.41704647820836,0.4495739521520524,26.633224798,-125.47504798943274,0.4504903353596293,7.601012706000001,-124.50515399396635,0.44730305465485154,11.268387492999999,-125.7366787101002,0.45233259118334257,26.287095627000003,-125.15273849641699,0.444548653242096,7.763629376999999,-125.09162421948191,0.45318033673500113,11.219254966,-125.52158785677125,0.44774988955626316,27.597712163,-125.98891624706035,0.4485283512307715,7.743163544000001,-125.75082518936469,0.454483467377504,11.634048994,-125.94361598499611,0.4553109516712244,25.708708248999997,-125.6829720610613,0.45280067264790214,8.462145463999999,-125.69569305677959,0.44603737497274343,11.205701839,-125.52970366327287,0.4504813716759438,26.66074999,-125.57082041068459,0.4470652774308888,8.289185504,-125.85611841272264,0.44992624795224256,11.664171918000001,-126.54300358806682,0.4447174532044217,25.143900131,-124.71538826665754,0.4449049076529414,7.780374738,-126.18778391554233,0.4621736547723982,11.530849254,-125.83525312069808,0.45200158348191827,25.103462502,-125.9129872590829,0.4462687491358537,7.486793962,-124.88480924057527,0.4558791807630387,12.032691371999999,-125.81197893982079,0.4446286332495022,30.116986252,-125.56619777394417,0.4528032524421662,8.001357169,-142.50489056282422,0.40211443800884306,11.235956795,-132.92282313193405,0.46020297675282623,25.778479701000002,-130.94467334739448,0.4265535364254286,7.701215378,-131.75511147045344,0.45328258503931007,12.098617446999999,-126.77367723113004,0.44116887955418127,26.253747796,-125.14005606639392,0.44521440881545543,8.697681331,-127.80450439327413,0.4446510336167854,12.363525127,-125.98436273615329,0.4482137525710579,28.961566120999997,-125.30556366182246,0.45519869986003525
7,7.875218919,-127.3654538741319,0.4478057929710898,12.026046751,-125.79133556383741,0.45474382588138346,27.174378502,-126.08665843003362,0.45374472232775087,8.217322283,-125.33790263130307,0.44725554745968066,11.87339605,-125.86978009072729,0.45456283524672786,27.456832459999998,-124.46617500176517,0.4456018782219621,7.648705326,-126.22434650494435,0.4459016305410819,11.131054047,-125.34915032813616,0.44861810388583384,27.316614999,-125.0988484610423,0.44860583102163565,7.926333667,-126.40169699798994,0.44418827689017915,10.681825497999998,-125.4834586885246,0.44913322472933814,25.445866286999998,-125.66371744680708,0.4424021181927224,8.051290711,-125.55545715547485,0.4573655733994374,10.636303083,-126.17197638158136,0.451493976761414,25.493178566,-125.19698376326706,0.44556870894889067,8.786980419,-125.45998107897964,0.4471577586931504,11.645780044,-125.29100243785318,0.45353228440472926,27.961798547999997,-125.95796480216909,0.4504536023763427,7.686881542,-127.8381162925755,0.46409992470680045,11.922978924,-125.34577571843928,0.45467157141770753,25.478593501,-126.15430288735989,0.4522675291406574,7.482916499000001,-125.92337207789278,0.446895570847154,11.667423712,-125.56476385783077,0.44260171562945805,28.093678703000002,-125.296399707422,0.4540388330582732,8.436645590000001,-126.53475866794105,0.4492811525173636,12.052798336,-125.72148130964192,0.4535163831973379,25.63090182,-125.53514138690952,0.44578116190099193,7.850792289999999,-133.0342298084945,0.41034809893189267,10.913846701999999,-139.04142828435374,0.4286034195834808,25.11027808,-124.66114277775588,0.4496045066279927,7.186941125,-128.0567254378997,0.475638383501528,12.432372284000001,-127.04853363533107,0.4417920077777958,25.67313654,-127.46270561961309,0.44609039637288805,8.496079124000001,-126.05665589357808,0.44420687798474334,12.536892327,-124.44925997007138,0.4378289329713662,27.690423216,-126.78991914758583,0.44425813340217746
8,7.940220760000001,-125.67648005310161,0.4601301017609993,11.375239633,-125.03916517379515,0.4460129581621623,26.059346580000003,-126.05150265949396,0.45342963826662475,7.744182499,-126.52750600422115,0.4466380703143809,11.906498501,-125.51901035296652,0.4463190478412168,27.980297917999998,-125.43466638436797,0.4550895861302076,7.2738734570000005,-126.43915326551588,0.45713313960138435,11.339029052999999,-125.26239008171035,0.4553946625269388,27.401674211,-125.68793899574536,0.4474774739089898,8.208032290999999,-126.40220084286084,0.44966231217902475,11.141177294,-125.530071674563,0.44753610597430155,26.398603037999997,-125.03434809198565,0.4459145750379705,7.948339335,-125.23083370602588,0.45213118685234094,11.106260541,-125.96637432398435,0.4456824159012066,27.057375539,-124.95413566981945,0.4483011784554436,8.361491498,-127.04216868983022,0.45077659936858133,12.679829412,-124.86584676005518,0.4483725345280181,26.26852229,-125.63764896171051,0.45554273279276775,7.888965286,-124.50579495200535,0.4726734148306386,11.745702539,-125.89974547113783,0.4411859100177277,24.887525461,-125.7270714623662,0.451797110701382,8.040863371999999,-126.27455661914072,0.45294781653978805,12.251709834,-125.17651542197702,0.4459419070307552,25.513290864000002,-124.861780966872,0.4416950038694188,8.023318828999999,-125.97500903886196,0.4504848151011626,12.7214247,-125.92663122454238,0.45504208629070564,29.716301252999997,-125.56360963865943,0.44509627522853534,8.11058459,-139.44277021160576,0.4938780966648184,11.106413423,-131.74524938086714,0.43965281424085045,24.86461237,-129.31577864821418,0.4366735559638286,7.73317834,-129.27753328227092,0.4336021303927544,12.333385748,-127.08942463916392,0.44236232280678955,26.831494293000002,-127.2428068419521,0.44000855091593094,8.7996365,-126.3136008636397,0.4508979530862137,12.876377452,-126.66190687228203,0.441397861311164,26.188645046999998,-125.22115043026906,0.44712897330589557
9,8.189736128,-126.46224745391407,0.44645082941081793,11.040652426,-125.55753983693931,0.4508049194478698,27.857672386,-125.51428255381701,0.4493877029980097,7.101927702999999,-125.03676438299446,0.45295800773826245,11.125818545,-124.76171081214063,0.44681014856961127,26.656645459,-125.76761861760652,0.4527932735985727,7.801367868999999,-126.90916677747076,0.4467322581781505,12.375976618,-125.30449226848114,0.44526791996847326,26.592537337,-125.85173637594433,0.4504400416159786,7.921068331,-124.41978887925413,0.4459627356169559,12.051665587999999,-125.98827877791048,0.43976399937868094,27.195512283,-125.44964548476,0.44920068223030674,8.150898179999999,-124.98111479924484,0.4524664663691096,11.405608835,-125.35257331511335,0.4446966889055938,25.390890885,-125.17454460148976,0.4490654091544609,8.49358216,-125.85414883552946,0.4507206994037925,12.339033868,-125.23024313784363,0.4497830058449377,27.188286324,-125.49476888045918,0.4473233550874219,8.121227161,-125.61349511661477,0.4610473547695536,11.458032288999998,-126.16349729709958,0.4495011376461707,25.262884337000003,-125.2053655565878,0.44922227785429236,8.199808917,-125.27440546904398,0.44331864135880295,12.419742453,-125.66788315142534,0.45069567739849387,25.501685543,-126.09888389150298,0.44987467106596724,7.7942959609999996,-125.33729407523617,0.45382307068513217,12.716727786,-125.10702864329889,0.4503425185565665,26.918909925,-125.6001052292569,0.4482870821867375,7.954497282,-135.72039778108166,0.4795017017192816,12.239792792,-135.63956612780333,0.43277371020289673,25.185375626000003,-129.49926457146182,0.4296805056086982,7.441007007,-129.2776833607954,0.45404867090966167,10.949585875,-127.48183042686196,0.4557057974532609,26.685575958,-125.20821827599343,0.4486488017184051,8.631474622,-125.54203215108917,0.436903361552339,12.706933961999999,-126.01960409540752,0.4420005980666413,27.836750130000002,-125.77729919868577,0.44684086241713694
10,8.163983993,-126.45423605813585,0.44235430951438737,11.893407129,-125.96031199358879,0.45662195069238687,28.630807953999998,-125.80742305075628,0.4554412083423707,7.886501253,-126.72124265171176,0.45434576361113943,11.006461658000001,-124.58906951351551,0.4435870582079178,27.635733539000004,-125.71881714072173,0.45126544535538987,7.448367629000001,-125.92245181854558,0.44113418578161934,12.620645911,-126.17553088048288,0.4514774012697283,26.31918138,-126.13612681943178,0.4495490534097311,8.383944292,-126.48955825556376,0.45374573837881976,11.977122377,-125.81520834660736,0.4514026882677059,24.90408596,-125.48312997226411,0.45182900653908675,8.272692295,-126.08888650312232,0.44760387230496035,11.746233500999999,-125.30871055449836,0.44757724131080345,27.234228822000002,-126.0527707611361,0.44613177472119836,7.966601499,-126.31564514735264,0.44927532313785323,12.476578626,-125.78871420101608,0.44983895374554694,28.291842081,-124.9020671132331,0.4474295376450701,8.630487288,-126.66583678076584,0.43823308423224183,11.332778166,-126.71619475404837,0.4465194635212644,25.548782257,-125.38774566119844,0.44761620810224534,8.575649826,-125.90631338484172,0.45290036707159353,12.348612426999999,-125.44064036976916,0.45639239903875184,25.914913794,-125.74486716499973,0.4515421104019107,7.922169665,-126.68286914634652,0.44770828709626187,12.764207671,-125.84543236584855,0.45315775410654646,29.862849712000003,-125.46487782192507,0.449216815802817,8.146042864,-135.40100212288888,0.48231978197607533,12.210119207,-134.21205201645105,0.40017932695694325,25.016744955,-131.30269479877148,0.44947591644534773,7.988544122,-129.27296412018,0.4396897031332199,11.590391831,-127.94669399848716,0.44140711394372023,25.759191541,-126.28865809686737,0.4504288214707586,8.528018125,-124.25016231405561,0.4440535122213071,12.110285748,-125.1397315844923,0.4527736981986419,28.786427388999996,-125.63176012990839,0.44724352857876826
